dataType,label,description,starttime,lat,lon,source,Severity,xID
EVENT,Fiji Region (4.9),Fiji Region Faultline - 4.9 Magnitude,2012-11-24T06:00Z,-21.3,-178.8,earthquake.usgs.gov,2,9207
EVENT,"Masset, Canada (6.3)","Masset, Canada Faultline - 6.3 Magnitude",2012-10-28T06:00Z,52.7,132.6,earthquake.usgs.gov,3,11943
